Codice Univoco Submisura;Descrizione Submisura;Numero seriale ;Titolo Bando o Avviso;CIG;Soggetto emanante;Codice Fiscale;Importo complessivo gara;Importo previsto PNRR;Importo previsto altri fondi;Data apertura bando;Data chiusura effettiva bando;Fino ad esaurimento risorse;Stato del Bando;Link al bando;Numero richieste;Numero partecipanti;Importo totale interventi-progetti proposti;Numero degli aggiudicatari;Destinatari del Bando o dell’Avviso;Importo Aggiudicato Totale;Importo Aggiudicato PNRR;Importo Aggiudicato Altri Fondi;Data aggiornamento-osservazione bandi
M1C1I1.04.01;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali;121;"Esperienza del Cittadino nei servizi pubblici"" - Comuni - Aprile 2022";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;400000000;;26/04/2022;02/09/2022;;Aggiudicato;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00000dk829QAA;5354;3361;620732889;3361;Comuni;399531565;399531565;;19/10/2022
M1C1I1.04.01;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali;144;Esperienza del Cittadino nei servizi pubblici (giugno 2022);;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;20000000;;27/06/2022;21/10/2022;;Chiuso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00000ocbtrQAA;;;;;"Scuole sedi di Direttivo
dislocate su tutto il territorio nazionale";;;;12/12/2022
M1C1I1.04.01;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali;190;"Avviso ""Esperienza del Cittadino nei servizi pubblici"" Comuni Settembre 2022";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;356000000;;19/09/2022;04/11/2022;;Aggiudicato;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q000017NZMCQA4;3841;3241;402611397;3241;Comuni;346314101;346314101;;24/01/2023
M1C1I1.04.01;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali;217;"Avviso Misura 1.4.1 ""Esperienza del cittadino nei servizi pubblici"" - Scuole (dicembre 2022)";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;7000000;;07/12/2022;10/02/2023;;Chiuso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00001B0xPWQAZ;;;;;Scuole;;;;07/12/2022
M1C1I1.04.03;"Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione ""IO""";109;Adozione piattaforma pagoPA;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;200000000;;04/04/2022;02/09/2022;;Aggiudicato;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00000Z9vFUQAZ;3638;;111508749;;Comuni;110435844;110435844;;22/09/2022
M1C1I1.04.03;"Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione ""IO""";111;Adozione app IO - comuni;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;90000000;;04/04/2022;02/09/2022;;Aggiudicato;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00000Z9vELQAZ;3373;3192;34440482;3192;Comuni;32769881;32769881;;22/09/2022
M1C1I1.04.03;"Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione ""IO""";136;"Avviso Misura 1.4.3 ""Adozione piattaforma pagoPA"" Altri Enti Maggio 2022";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;80000000;;30/05/2022;09/09/2022;;Chiuso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00000koTeyQAE#testo_completo_avviso__c;;;;;Regioni, province autonome,aziende sanitarie e ospedialiere, università, enti di ricerca, consorzi di ricerca, istituzioni per l'Alta formazione;;;;12/12/2022
M1C1I1.04.03;"Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione ""IO""";137;Avviso Misura 1.4.3 “Adozione App IO” - Altri Enti Maggio 2022;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;35000000;;30/05/2022;09/09/2022;;Chiuso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00000koTdhQAE;;;;;Regioni, province autonome,aziende sanitarie e ospedialiere, università, enti di ricerca, consorzi di ricerca, istituzioni per l'Alta formazione;;;;12/12/2022
M1C1I1.04.03;"Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione ""IO""";181;"Avviso Misura 1.4.3 ""Adozione app IO"" Altri Enti Settembre 2022";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;30000000;;12/09/2022;24/03/2023;;In corso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q000015cuUBQAY;;;;;ASL, Enti Regionali, Università, Istituti di ricerca e AFAM;;;;13/01/2023
M1C1I1.04.03;"Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione ""IO""";183;"Avviso ""Adozione piattaforma pagoPA"" Altri Enti Settembre 2022";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;50000000;;12/09/2022;13/01/2023;;Chiuso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q000015cuUHQAY;;;;;Regioni, province autonome,aziende sanitarie e ospedialiere, università, enti di ricerca, consorzi di ricerca, istituzioni per l'Alta formazione;;;;13/01/2023
M1C1I1.04.03;"Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione ""IO""";184;"Avviso ""Adozione app IO"" Comuni Settembre 2022";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;40000000;;12/09/2022;24/03/2023;;In corso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q000015cZ1UQAU;;;;;Comuni;;;;13/01/2023
M1C1I1.04.03;"Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione ""IO""";185;"Avviso ""Adozione piattaforma pagoPA"" Comuni Settembre 2022";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;80000000;;12/09/2022;17/03/2023;;In corso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q000015cuUGQAY;;;;;Comuni;;;;13/01/2023
M1C1I1.04.03;"Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione ""IO""";191;"Avviso pubblico per la presentazione di domande di partecipazione “ESPERIENZA DEL CITTADINO NEI SERVIZI PUBBLICI - COMUNI (Settembre 2022)"" Next Generation EU.";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;280000000;;19/09/2022;04/11/2022;;Chiuso;https://presidenza.governo.it/AmministrazioneTrasparente/Sovvenzioni/CriteriModalita/PNRR_Avviso_1-2_Comuni/settembre/Avviso_1_4_1_COMUNI_settembre%202022.pdf;;;;;Comuni;;;;12/12/2022
M1C1I1.04.04;Rafforzamento dell'adozione delle piattaforme nazionali di identità digitale (SPID, CIE) e dell'Anagrafe nazionale (ANPR);110;Estensione dell'utilizzo delle piattaforme nazionali di identità digitale - SPID CIE;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;100000000;;04/04/2022;02/09/2022;;Aggiudicato;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00000Z9i2jQAB;4283;3925;59962000;3925;Comuni;54950000;54950000;;27/12/2022
M1C1I1.04.04;Rafforzamento dell'adozione delle piattaforme nazionali di identità digitale (SPID, CIE) e dell'Anagrafe nazionale (ANPR);138;"Avviso ""Estensione dell'utilizzo delle piattaforme nazionali di identità digitale - SPID CIE"" Amministrazioni Pubbliche diverse da Comuni e Istituzioni Scolastiche Maggio 2022";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;30000000;;30/05/2022;09/09/2022;;Chiuso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q00000koKymQAE#testo_completo_avviso__c ;;;;;Amministrazioni pubbliche, esclusi i Comuni e le istituzioni scolastiche;;;;12/12/2022
M1C1I1.04.04;Rafforzamento dell'adozione delle piattaforme nazionali di identità digitale (SPID, CIE) e dell'Anagrafe nazionale (ANPR);182;"Avviso ""Estensione dell'utilizzo delle piattaforme nazionali di identità digitale - SPID CIE"" Amministrazioni Pubbliche diverse da Comuni e Istituzioni Scolastiche Settembre 2022";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;5000000;;12/09/2022;17/03/2023;;In corso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q000015cuUVQAY;;;;;Amministrazioni pubbliche, esclusi i Comuni e le istituzioni scolastiche;;;;13/01/2023
M1C1I1.04.04;Rafforzamento dell'adozione delle piattaforme nazionali di identità digitale (SPID, CIE) e dell'Anagrafe nazionale (ANPR);186;"Avviso ""Estensione dell'utilizzo delle piattaforme nazionali di identità digitale - SPID CIE"" Comuni Settembre 2022";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;25000000;;12/09/2022;24/03/2023;;In corso;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q000015cmRzQAI;;;;;Comuni;;;;13/01/2023
M1C1I1.04.05;Digitalizzazione degli avvisi pubblici;187;"Avviso""Piattaforma Notifiche Digitali” Comuni (Settembre 2022)";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;200000000;;12/09/2022;11/11/2022;;Aggiudicato;https://areariservata.padigitale2026.gov.it/Pa_digitale2026_dettagli_avviso?id=a017Q000015cZ1KQAU;5433;5121;157468558;5121;Comuni;148329571;148329571;;24/01/2023
M1C1I1.04.06;Mobilità come servizio per l'Italia;4;Mobility as a service (Missione 1 - Componente 1 - Asse 1 – Sub-investimento 1.4.6. del PNRR);;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;16900000;16900000;;22/11/2021;10/01/2022;;Aggiudicato;https://innovazione.gov.it/notizie/avvisi-pubblici/mobility-as-a-service-for-italy/;13;3;;3;Città metropolitane;16900000;16900000;;26/05/2022
M1C1I1.06.02;Digitalizzazione del Ministero della Giustizia;87;Procedura negoziata per l’affidamento del servizio di digitalizzazione dei fascicoli giudiziari;;MINISTERO DELLA GIUSTIZIA;80184430587;68196721,31;68196721,31;;18/02/2022;07/03/2022;;Chiuso;https://www.giustizia.it/giustizia/it/mg_1_4_1.page?contentId=SBG367176&previsiousPage=mg_1_4_1;30;;;;Imprese;;;;12/12/2022
M1C1I1.07.01;Servizio Civile Digitale;57;Avviso pubblico di presentazione dei programmi di intervento di servizio civile universale per l’anno 2022 - Servizio Civile Digitale;;PCM - DIP POL GIOVAN E SERV CIV UNIVERS;80188230587;N/A;55000000;;25/01/2022;31/03/2022;;Aggiudicato;https://www.politichegiovanili.gov.it/comunicazione/avvisi-e-bandi/servizio-civile/avvisi-di-presentazione-programmi-e-progetti/avviso-presentazione-programmi-scu-sca-scd-2022/;2400;;;;Enti iscritti all'albo;55000000;55000000;;11/11/2022
M1C1I1.07.01;Servizio Civile Digitale;163;Bando per la selezione di 2.613 operatori volontari da impiegare in progetti afferenti a programmi di intervento di Servizio civile digitale, di Servizio civile ambientale e di Servizio civile universale autofinanziati.;;PCM - DIP POL GIOVAN E SERV CIV UNIVERS;80188230587;N/A;0;;02/08/2022;30/09/2022;;Chiuso;https://www.politichegiovanili.gov.it/comunicazione/avvisi-e-bandi/servizio-civile/bandi-di-selezione-volontari/2022_bandosca-scd/;;;;;Individui;;;;08/08/2022
M1C1I1.07.01;Servizio Civile Digitale;242;Avviso pubblico di presentazione dei programmi di intervento di Servizio civile digitale per l’anno 2023;;PCM - DIP POL GIOVAN E SERV CIV UNIVERS;80188230587;N/A;;;30/01/2023;31/03/2023;;In corso;;;;;;Enti iscritti all'Albo Unico di Servizio civile universale;;;;13/02/2023
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;5;Avviso per la ricerca di agronomi;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;7366900;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=fac7ace320e04776ae9b93065f5223a7 ;850;24;;24;Regioni;7687200;7687200;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;6;Avviso per la ricerca di architetti;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;25303700;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=3591054c22d94077a73ed0c4133d6aeb ;6746;81;;81;Individui / Liberi Professionisti;25944300;25944300;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;7;Avviso per la ricerca di Avvocati esperti in diritto ambientale;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;1921800;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=d2c37fbda8704f169c0b006f698f100e ;939;6;;6;Individui / Liberi Professionisti;1921800;1921800;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;8;Avviso per la ricerca di biologi;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;7046600;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=e7b1ba31e5814c3e89b1dfd486cd3e25;771;21;;21;Individui / Liberi Professionisti;6726300;6726300;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;9;Avviso per la ricerca di Chimici o Fisici;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;4163900;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=c86e6b49138a4dc79ed115a4b05999a3;301;13;;13;Liberi Professionisti;4163900;4163900;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;10;Avviso per la ricerca di esperti Amministrativi;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;26584900;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=91b0b94e990544e091f34e1a3353aa99;6576;85;;85;Individui / Liberi Professionisti;27225500;27225500;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;11;Avviso per la ricerca di esperti digitali ;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;9288700;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=6a81cb5abe144a2bbe2c04ac0ce6af14 ;1332;29;;29;Individui / Liberi Professionisti;9288700;9288700;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;12;Avviso per la ricerca di esperti gestionali;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;3843600;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=89aec73c061140728ecde4618f2b2a8f ;445;12;;12;Individui / Liberi Professionisti;3843600;3843600;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;13;Avviso per la ricerca di Esperti Giuridici;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;25624000;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=83003c2ff90a4b8fb9686f328288cb83;5444;75;;75;Individui / Liberi Professionisti;24022500;24022500;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;14;Avviso per la ricerca di Esperti in ambiente;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;7046600;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=61c54f051e8443d088ad7a4023f1d4b9;545;21;;21;Individui / Liberi Professionisti;6726300;6726300;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;15;Avviso per la ricerca di Esperti in contabilità pubblica e in rendicontazione dei fondi europei;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;4804500;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=d2d1350e79c64ba780f48d31a87bc309;2984;14;;14;Individui / Liberi Professionisti;4484200;4484200;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;16;Avviso per la ricerca di Esperti in edilizia;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;8648100;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=e81ce61068f548eb937fb8aff369098f;1988;26;;26;Individui / Liberi Professionisti;8327800;8327800;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;17;Avviso per la ricerca di Esperti Rinnovabili;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;3843600;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=401978b94e7246abaaaa371cc8efb82d;900;12;;12;Individui / Liberi Professionisti;3843600;3843600;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;18;Avviso per la ricerca di Esperti informatici;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;1601500;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=0a431bc9a2f04ec9a16ea798dcf2ee30;670;5;;5;Individui / Liberi Professionisti;1601500;1601500;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;19;Avviso per la ricerca di esperti nella gestione e nel monitoraggio di progetti complessi;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;21139800;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=1ff349dcef0f4f35a72115a61098a034;7861;67;;67;Individui / Liberi Professionisti;21460100;21460100;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;20;Avviso per la ricerca di Esperti statistici;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;1281200;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=bd10653afeff47e58e6dfc0b99240f30;629;4;;4;Individui / Liberi Professionisti;1281200;1281200;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;21;Avviso per la ricerca di Esperti Tecnici in appalti;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;2882700;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=313060b7dedf46aeb7a565760aae2676;2352;8;;8;Individui / Liberi Professionisti;2562400;2562400;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;22;Avviso per la ricerca di Esperti Geologi;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;22741300;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=eb46ba98a4f44b3aa1951e4b7057ce47;1215;80;;80;Individui / Liberi Professionisti;25624000;25624000;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;23;Avviso per la ricerca di Geometri;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;10569900;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=7374596b0e47492897c1ebc17076672e;900;42;;42;Individui / Liberi Professionisti;13452600;13452600;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;24;Avviso per la ricerca di Ingegneri ambientali;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;30108200;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=9c075d9eabc84afca99058b5a424bd29;2702;93;;93;Individui / Liberi Professionisti;29787900;29787900;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;25;Avviso per la ricerca di Ingegneri chimici;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;7687200;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=a5833a95f3a642608583956f659dda6e;265;22;;22;Individui / Liberi Professionisti;7046600;7046600;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;26;Avviso per la ricerca di Ingegneri civili;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;33631500;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=532f2fa0c04541ca8ae6ed64c017c9ce;6610;102;;102;Individui / Liberi Professionisti;32670600;32670600;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;27;Avviso per la ricerca di Ingegneri dei trasporti;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;1921800;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=169ac6cc4dae4c89839887b44f0f9e2f;800;5;;5;Individui / Liberi Professionisti;1601500;1601500;;03/05/2022
