Programma;Missione;Descrizione Missione;Componente;Descrizione Componente;ID Misura;Codice Univoco Misura;Descrizione Misura;ID Submisura;Codice Univoco Sub-misura;Codice CID;Descrizione Sub-misura;Amministrazione Titolare;Codice Indicatore;Descrizione Indicatore;Unità di misura;Stock o Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I3.3;M1C3I3.03;Capacity building per gli operatori della cultura per gestire la transizione digitale e verde;M1C3I3.3.4;M1C3I3.3;M1C3I3.3;Promuovere l'innovazione e l'eco-progettazione inclusiva;MINISTERO DELLA CULTURA;C9.M;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (MEDIE IMPRESE);Imprese;Flusso
PNRR;M5;Inclusione e coesione;M5C1;Politiche per il lavoro;M5C1I1.1;M5C1I1.01;Potenziamento dei Centri per l'Impiego (PES);M5C1I1.1;M5C1I1;M5C1I1;Potenziamento dei Centri per l'Impiego (PES);MINISTERO DEL LAVORO E POLITICHE SOCIALI;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti / anno;Flusso
PNRR;M4;Istruzione e ricerca;M4C2;Dalla ricerca all'impresa;M4C2I2.1;M4C2I2.01;IPCEI;M4C2I2.1;M4C2I2.1;M4C2I2.1;IPCEI;MINISTERO IMPRESE E DEL MADE IN ITALY;C8.F;RICERCATORI CHE LAVORANO IN CENTRI DI RICERCA BENEFICIARI DI UN SOSTEGNO (DONNE);Annual Full Time Equivalent;Flusso
PNRR;M4;Istruzione e ricerca;M4C2;Dalla ricerca all'impresa;M4C2I2.1;M4C2I2.01;IPCEI;M4C2I2.1;M4C2I2.1;M4C2I2.1;IPCEI;MINISTERO IMPRESE E DEL MADE IN ITALY;C8.M;RICERCATORI CHE LAVORANO IN CENTRI DI RICERCA BENEFICIARI DI UN SOSTEGNO (UOMINI);Annual Full Time Equivalent;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.2;M1C2I1;M1C2I1;Credito d'imposta (immateriali non 4.0);MINISTERO IMPRESE E DEL MADE IN ITALY;C9.S;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (PICCOLE E MICRO IMPRESE);Imprese;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.3;M1C2I1;M1C2I1;Crediti d'imposta per beni immateriali tradizionali;MINISTERO IMPRESE E DEL MADE IN ITALY;C9.G;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (GRANDI IMPRESE);Imprese;Flusso
PNRR;M4;Istruzione e ricerca;M4C1;Potenziamento dell’offerta dei servizi di istruzione: dagli asili nido alle università;M4C1I3.1;M4C1I3.01;Nuove competenze e nuovi linguaggi;M4C1I3.1;M4C1I3.1;M4C1I3.1;Nuove competenze e nuovi linguaggi;MINISTERO DELL'ISTRUZIONE E MERITO;C10.C;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (UOMINI; 30-54)";Persone;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.3;M1C2I1;M1C2I1;Crediti d'imposta per beni immateriali tradizionali;MINISTERO IMPRESE E DEL MADE IN ITALY;C9.M;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (MEDIE IMPRESE);Imprese;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.3;M1C2I1;M1C2I1;Crediti d'imposta per beni immateriali tradizionali;MINISTERO IMPRESE E DEL MADE IN ITALY;C9.S;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (PICCOLE E MICRO IMPRESE);Imprese;Flusso
PNRR;M4;Istruzione e ricerca;M4C1;Potenziamento dell’offerta dei servizi di istruzione: dagli asili nido alle università;M4C1I3.1;M4C1I3.01;Nuove competenze e nuovi linguaggi;M4C1I3.1;M4C1I3.1;M4C1I3.1;Nuove competenze e nuovi linguaggi;MINISTERO DELL'ISTRUZIONE E MERITO;C10.D;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (UOMINI; 55<)";Persone;Flusso
PNRR;M4;Istruzione e ricerca;M4C1;Potenziamento dell’offerta dei servizi di istruzione: dagli asili nido alle università;M4C1I3.1;M4C1I3.01;Nuove competenze e nuovi linguaggi;M4C1I3.1;M4C1I3.1;M4C1I3.1;Nuove competenze e nuovi linguaggi;MINISTERO DELL'ISTRUZIONE E MERITO;C10.E;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (DONNE; ETÀ 0-17)";Persone;Flusso
PNRR;M4;Istruzione e ricerca;M4C1;Potenziamento dell’offerta dei servizi di istruzione: dagli asili nido alle università;M4C1I3.1;M4C1I3.01;Nuove competenze e nuovi linguaggi;M4C1I3.1;M4C1I3.1;M4C1I3.1;Nuove competenze e nuovi linguaggi;MINISTERO DELL'ISTRUZIONE E MERITO;C10.F;NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (DONNE ETÀ 18-29);Persone;Flusso
PNRR;M4;Istruzione e ricerca;M4C1;Potenziamento dell’offerta dei servizi di istruzione: dagli asili nido alle università;M4C1I3.1;M4C1I3.01;Nuove competenze e nuovi linguaggi;M4C1I3.1;M4C1I3.1;M4C1I3.1;Nuove competenze e nuovi linguaggi;MINISTERO DELL'ISTRUZIONE E MERITO;C10.G;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (DONNE; 30-54)";Persone;Flusso
PNRR;M4;Istruzione e ricerca;M4C1;Potenziamento dell’offerta dei servizi di istruzione: dagli asili nido alle università;M4C1I3.1;M4C1I3.01;Nuove competenze e nuovi linguaggi;M4C1I3.1;M4C1I3.1;M4C1I3.1;Nuove competenze e nuovi linguaggi;MINISTERO DELL'ISTRUZIONE E MERITO;C10.H;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (DONNE; 55<)";Persone;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I3.3;M1C3I3.03;Capacity building per gli operatori della cultura per gestire la transizione digitale e verde;M1C3I3.3.2;M1C3I3.3;M1C3I3.3;Sostegno ai settori culturali e creativi per l'innovazione e la transizione digitale;MINISTERO DELLA CULTURA;C9.G;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (GRANDI IMPRESE);Imprese;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I3.3;M1C3I3.03;Capacity building per gli operatori della cultura per gestire la transizione digitale e verde;M1C3I3.3.2;M1C3I3.3;M1C3I3.3;Sostegno ai settori culturali e creativi per l'innovazione e la transizione digitale;MINISTERO DELLA CULTURA;C9.M;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (MEDIE IMPRESE);Imprese;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I3.3;M1C3I3.03;Capacity building per gli operatori della cultura per gestire la transizione digitale e verde;M1C3I3.3.2;M1C3I3.3;M1C3I3.3;Sostegno ai settori culturali e creativi per l'innovazione e la transizione digitale;MINISTERO DELLA CULTURA;C9.S;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (PICCOLE E MICRO IMPRESE);Imprese;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.5;M1C1I1.6.5;M1C1I1.6.5;Digitalizzazione del Consiglio di Stato;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti / anno;Flusso
PNRR;M6;Salute;M6C2;Innovazione, ricerca e digitalizzazione del servizio sanitario;M6C2I2.2;M6C2I2.02;Sviluppo delle competenze tecniche, professionali, digitali e manageriali del personale del sistema sanitario;M6C2I2.2.A;M6C2I2.2;M6C2I2.2;Sviluppo delle competenze tecniche-professionali, digitali e manageriali del personale del sistema sanitario. Sub-misura: borse aggiuntive in formazione di medicina generale;MINISTERO DELLA SALUTE;C14.F;NUMERO DI GIOVANI DI ETÀ COMPRESA TRA I 15 E I 29 ANNI CHE RICEVONO SOSTEGNO (DONNE);Persone;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I2.1;M1C1I2.01;Portale unico del reclutamento;M1C1I2.1.2;M1C1R1.9;M1C1R1.9;Procedure per l'assunzione di profili tecnici;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti / anno;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.3;M1C1I1.03;Dati e interoperabilità;M1C1I1.3.2;M1C1I1.3.2;M1C1I1.3.2;Sportello digitale unico;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti / anno;Flusso
PNRR;M6;Salute;M6C2;Innovazione, ricerca e digitalizzazione del servizio sanitario;M6C2I2.2;M6C2I2.02;Sviluppo delle competenze tecniche, professionali, digitali e manageriali del personale del sistema sanitario;M6C2I2.2.A;M6C2I2.2;M6C2I2.2;Sviluppo delle competenze tecniche-professionali, digitali e manageriali del personale del sistema sanitario. Sub-misura: borse aggiuntive in formazione di medicina generale;MINISTERO DELLA SALUTE;C14.M;NUMERO DI GIOVANI DI ETÀ COMPRESA TRA I 15 E I 29 ANNI CHE RICEVONO SOSTEGNO (UOMINI);Persone;Flusso
PNRR;M5;Inclusione e coesione;M5C1;Politiche per il lavoro;M5C1R1.1;M5C1R1.01;ALMPs e formazione professionale;M5C1R1.1;M5C1R1;M5C1R1;ALMPs e formazione professionale;MINISTERO DEL LAVORO E POLITICHE SOCIALI;C10.A;NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (UOMINI ETÀ 0-17);Persone;Flusso
PNRR;M5;Inclusione e coesione;M5C1;Politiche per il lavoro;M5C1R1.1;M5C1R1.01;ALMPs e formazione professionale;M5C1R1.1;M5C1R1;M5C1R1;ALMPs e formazione professionale;MINISTERO DEL LAVORO E POLITICHE SOCIALI;C10.B;NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (UOMINI ETÀ 18-29);Persone;Flusso
PNRR;M5;Inclusione e coesione;M5C1;Politiche per il lavoro;M5C1R1.1;M5C1R1.01;ALMPs e formazione professionale;M5C1R1.1;M5C1R1;M5C1R1;ALMPs e formazione professionale;MINISTERO DEL LAVORO E POLITICHE SOCIALI;C10.C;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (UOMINI; 30-54)";Persone;Flusso
PNRR;M5;Inclusione e coesione;M5C1;Politiche per il lavoro;M5C1R1.1;M5C1R1.01;ALMPs e formazione professionale;M5C1R1.1;M5C1R1;M5C1R1;ALMPs e formazione professionale;MINISTERO DEL LAVORO E POLITICHE SOCIALI;C10.D;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (UOMINI; 55<)";Persone;Flusso
PNRR;M5;Inclusione e coesione;M5C1;Politiche per il lavoro;M5C1R1.1;M5C1R1.01;ALMPs e formazione professionale;M5C1R1.1;M5C1R1;M5C1R1;ALMPs e formazione professionale;MINISTERO DEL LAVORO E POLITICHE SOCIALI;C10.E;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (DONNE; ETÀ 0-17)";Persone;Flusso
PNRR;M5;Inclusione e coesione;M5C1;Politiche per il lavoro;M5C1R1.1;M5C1R1.01;ALMPs e formazione professionale;M5C1R1.1;M5C1R1;M5C1R1;ALMPs e formazione professionale;MINISTERO DEL LAVORO E POLITICHE SOCIALI;C10.F;NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (DONNE ETÀ 18-29);Persone;Flusso
PNRR;M5;Inclusione e coesione;M5C1;Politiche per il lavoro;M5C1R1.1;M5C1R1.01;ALMPs e formazione professionale;M5C1R1.1;M5C1R1;M5C1R1;ALMPs e formazione professionale;MINISTERO DEL LAVORO E POLITICHE SOCIALI;C10.G;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (DONNE; 30-54)";Persone;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I1.8;M1C1I1.8;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;GIUST AMM.VA (CONSIGLIO DI STATO E TAR);C14.F;NUMERO DI GIOVANI DI ETÀ COMPRESA TRA I 15 E I 29 ANNI CHE RICEVONO SOSTEGNO (DONNE);Persone;Flusso
PNRR;M5;Inclusione e coesione;M5C1;Politiche per il lavoro;M5C1R1.1;M5C1R1.01;ALMPs e formazione professionale;M5C1R1.1;M5C1R1;M5C1R1;ALMPs e formazione professionale;MINISTERO DEL LAVORO E POLITICHE SOCIALI;C10.H;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (DONNE; 55<)";Persone;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I1.1;M1C3I1.01;Strategia digitale e piattaforme per il patrimonio culturale;M1C3I1.1.1;M1C3I1.1;M1C3I1.1;Piano nazionale di digitalizzazione per i beni culturali;MINISTERO DELLA CULTURA;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti / anno;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I1.1;M1C3I1.01;Strategia digitale e piattaforme per il patrimonio culturale;M1C3I1.1.2;M1C3I1.1;M1C3I1.1;Sistema di certificazione dell'identità digitale per i beni culturali;MINISTERO DELLA CULTURA;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti / anno;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I1.1;M1C3I1.01;Strategia digitale e piattaforme per il patrimonio culturale;M1C3I1.1.4;M1C3I1.1;M1C3I1.1;Infrastruttura digitale per il patrimonio culturale;MINISTERO DELLA CULTURA;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti / anno;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I1.1;M1C3I1.01;Strategia digitale e piattaforme per il patrimonio culturale;M1C3I1.1.6;M1C3I1.1;M1C3I1.1;Formazione e miglioramento delle competenze digitali;MINISTERO DELLA CULTURA;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti / anno;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I3.3;M1C3I3.03;Capacity building per gli operatori della cultura per gestire la transizione digitale e verde;M1C3I3.3.4;M1C3I3.3;M1C3I3.3;Promuovere l'innovazione e l'eco-progettazione inclusiva;MINISTERO DELLA CULTURA;C9.S;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (PICCOLE E MICRO IMPRESE);Imprese;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I4.1;M1C3I4.01;Hub del Turismo Digitale;M1C3I4.1;M1C3I4.1;M1C3I4.1;Hub del Turismo Digitale;MINISTERO DEL TURISMO;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti / anno;Flusso
PNRR;M5;Inclusione e coesione;M5C1;Politiche per il lavoro;M5C1R1.1;M5C1R1.01;ALMPs e formazione professionale;M5C1R1.1;M5C1R1;M5C1R1;ALMPs e formazione professionale;MINISTERO DEL LAVORO E POLITICHE SOCIALI;C10IA;NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (UOMINI ETÀ 0-17);Persone;Flusso
PNRR;M5;Inclusione e coesione;M5C1;Politiche per il lavoro;M5C1R1.1;M5C1R1.01;ALMPs e formazione professionale;M5C1R1.1;M5C1R1;M5C1R1;ALMPs e formazione professionale;MINISTERO DEL LAVORO E POLITICHE SOCIALI;C10IB;NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (UOMINI ETÀ 18-29);Persone;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I3.3;M1C3I3.03;Capacity building per gli operatori della cultura per gestire la transizione digitale e verde;M1C3I3.3.3;M1C3I3.3;M1C3I3.3;Promuovere la riduzione dell'impronta ecologica degli eventi culturali;MINISTERO DELLA CULTURA;C9.G;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (GRANDI IMPRESE);Imprese;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I3.3;M1C3I3.03;Capacity building per gli operatori della cultura per gestire la transizione digitale e verde;M1C3I3.3.3;M1C3I3.3;M1C3I3.3;Promuovere la riduzione dell'impronta ecologica degli eventi culturali;MINISTERO DELLA CULTURA;C9.M;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (MEDIE IMPRESE);Imprese;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I3.3;M1C3I3.03;Capacity building per gli operatori della cultura per gestire la transizione digitale e verde;M1C3I3.3.3;M1C3I3.3;M1C3I3.3;Promuovere la riduzione dell'impronta ecologica degli eventi culturali;MINISTERO DELLA CULTURA;C9.S;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (PICCOLE E MICRO IMPRESE);Imprese;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I1.1;M1C3I1.01;Strategia digitale e piattaforme per il patrimonio culturale;M1C3I1.1.3;M1C3I1.1;M1C3I1.1;Servizi di infrastruttura cloud;MINISTERO DELLA CULTURA;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti / anno;Flusso
PNRR;M5;Inclusione e coesione;M5C3;Interventi speciali per la coesione territoriale;M5C3I1.1;M5C3I1.01;Strategia nazionale per le aree interne;M5C3I1.1.2;M5C3I1.1.2;M5C3I1.1.2;Aree interne - Strutture sanitarie di prossimità territoriale;PCM - DIP POLITICHE DI COESIONE;C9.G;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (GRANDI IMPRESE);Imprese;Flusso
PNRR;M5;Inclusione e coesione;M5C3;Interventi speciali per la coesione territoriale;M5C3I1.1;M5C3I1.01;Strategia nazionale per le aree interne;M5C3I1.1.2;M5C3I1.1.2;M5C3I1.1.2;Aree interne - Strutture sanitarie di prossimità territoriale;PCM - DIP POLITICHE DI COESIONE;C9.M;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (MEDIE IMPRESE);Imprese;Flusso
PNRR;M5;Inclusione e coesione;M5C3;Interventi speciali per la coesione territoriale;M5C3I1.1;M5C3I1.01;Strategia nazionale per le aree interne;M5C3I1.1.2;M5C3I1.1.2;M5C3I1.1.2;Aree interne - Strutture sanitarie di prossimità territoriale;PCM - DIP POLITICHE DI COESIONE;C9.S;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (PICCOLE E MICRO IMPRESE);Imprese;Flusso
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I1.8;M1C1I1.8;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;GIUST AMM.VA (CONSIGLIO DI STATO E TAR);C14.M;NUMERO DI GIOVANI DI ETÀ COMPRESA TRA I 15 E I 29 ANNI CHE RICEVONO SOSTEGNO (UOMINI);Persone;Flusso
PNRR;M5;Inclusione e coesione;M5C1;Politiche per il lavoro;M5C1R1.1;M5C1R1.01;ALMPs e formazione professionale;M5C1R1.1;M5C1R1;M5C1R1;ALMPs e formazione professionale;MINISTERO DEL LAVORO E POLITICHE SOCIALI;C10IC;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (UOMINI; 30-54)";Persone;Flusso
