Missione;Descrizione Missione;Componente;Descrizione Componente;ID Misura;Codice Univoco Misura;Descrizione Misura;Amministrazione Titolare;Codice univoco Milestone-Target;Milestone-Target;Nome Milestone-Target;Avanzamento;﻿Principali evidenze;﻿Allegato 1;﻿Allegato 2;﻿Allegato 3;﻿Allegato 4;﻿Allegato 5;﻿Allegato 6;﻿Allegato 7;﻿Allegato 8;﻿Allegato 9
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.9;M1C1I1.09;Fornire assistenza tecnica e rafforzare la capacità per l'attuazione del PNRR;PCM - Min Pub Amm;M1C1-53;Milestone;Entrata in vigore della legislazione primaria necessaria per fornire assistenza tecnica e rafforzare la creazione di capacità per l'attuazione del PNRR;2021 - 4° trimestre;L’entrata in vigore della legislazione primaria necessaria per fornire assistenza tecnica e rafforzare la creazione di capacità per l’attuazione del PNRR è conseguita con il Decreto-legge n° 80/2021, art. 1, commi 15ter e 15 quater, convertito con Legge n° 113/2021, Decreto-legge n°44/2021, convertito con Legge n° 76/2021, e ulteriori atti di normativa secondaria.;https://www.gazzettaufficiale.it/eli/id/2020/12/30/20G00202/sg;https://www.gazzettaufficiale.it/eli/id/2021/05/31/21A03306/sg;https://www.gazzettaufficiale.it/eli/id/2021/05/31/21G00086/sg;https://www.gazzettaufficiale.it/eli/id/2021/08/07/21A04886/sg;https://www.gazzettaufficiale.it/eli/id/2021/08/07/21G00124/sg;"https://www.gazzettaufficiale.it/atto/concorsi/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2021-04-06&amp;atto.codiceRedazionale=21E03734";http://riqualificazione.formez.it/content/concorso-pubblico-reclutamento-2022-unita-personale-tempo-determinato-regioni-sud;http://www.funzionepubblica.gov.it/sites/funzionepubblica.gov.it/files/Dm14ottobre2021.pdf;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.9;M1C1I1.09;Fornire assistenza tecnica e rafforzare la capacità per l'attuazione del PNRR;PCM - Min Pub Amm;M1C1-54;Target;Completamento dell'assunzione degli esperti per l'attuazione del PNRR;2021 - 4° trimestre;Si è completato nel mese di dicembre il processo di assunzione dei 1.000 esperti per l’attuazione del PNRR.;https://www.gazzettaufficiale.it/eli/id/2021/11/29/21A07051/sg;http://www.regioni.it/conferenze/idconf-642314/;http://www.funzionepubblica.gov.it/sites/funzionepubblica.gov.it/files/progetto1000esperti.pdf;https://www.gazzettaufficiale.it/eli/id/2021/11/10/21A06655/sg;https://www.inpa.gov.it/bandi-e-avvisi/;https://italiadomani.gov.it/it/strumenti/documenti/archivio-documenti/piani-territoriali-2021.html;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.9;M1C1R1.09;Riforma della pubblica amministrazione;PCM - Min Pub Amm;M1C1-55;Milestone;Per aumentare l'assorbimento degli investimenti, estendere al fondo complementare la metodologia adottata per il PNRR;2021 - 4° trimestre;Con il Decreto-legge n° 77/2021 artt. 14 e 15, convertito in Legge n° 108/2021, sono state estese ai progetti contenuti nel Piano nazionale complementare le misure e le procedure di accelerazione e semplificazione per il PNRR.;https://www.gazzettaufficiale.it/eli/id/2021/07/06/21A04068/sg;https://www.gazzettaufficiale.it/eli/id/2021/07/06/21G00111/sg;https://www.agenziacoesione.gov.it/wp-content/uploads/2021/10/DM-MEF-15.7.21-3.pdf;https://www.gazzettaufficiale.it/eli/id/2021/07/30/21A04731/sg;https://www.gazzettaufficiale.it/eli/id/2021/07/30/21G00118/sg;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.9;M1C1R1.09;Riforma della pubblica amministrazione;PCM - Min Pub Amm;M1C1-68;Milestone;Sistema di archiviazione per audit e controlli: informazioni per il monitoraggio dell'attuazione dell'RRF;2021 - 4° trimestre;È stata avviata la messa in uso del sistema ReGis, in linea di quanto previsto dall'art. 22 paragrafo 2 del Regolamento 2021/241.;https://www.gazzettaufficiale.it/eli/id/2020/12/30/20G00202/sg;https://www.mit.gov.it/normativa/dpcm-15-settembre-2021;https://www.rgs.mef.gov.it/_Documenti/VERSIONE-I/CIRCOLARI/2021/31/Allegato-3-Manuale-Utente_ReGiS_Avanzamenti-MT.pdf;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.10;M1C1R1.10;Riforma del quadro legislativo in materia di appalti pubblici e concessioni;PCM - Pres Cons Min;M1C1-69;Milestone;Entrata in vigore del decreto sulla semplificazione del sistema degli appalti pubblici;2021 - 4° trimestre;Con il Decreto-legge n° 77/2021, art. 44, 48, 49, 50, 51, 52, 53 convertito in Legge n° 108/2021, e ulteriori atti di normativa secondaria sono state approvate le norme sulla semplificazione del sistema degli appalti pubblici.;https://www.gazzettaufficiale.it/eli/id/2021/07/30/21A04731/sg;https://www.gazzettaufficiale.it/eli/id/2021/07/30/21G00118/sg;https://www.gazzettaufficiale.it/eli/id/2021/10/26/21G00159/SG;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.10;M1C1R1.10;Riforma del quadro legislativo in materia di appalti pubblici e concessioni;PCM - Pres Cons Min;M1C1-71;Milestone;Entrata in vigore di tutte le leggi, i regolamenti e i provvedimenti attuativi (anche di diritto derivato) per il sistema degli appalti pubblici;2021 - 4° trimestre;La riforma in materia di appalti pubblici è stata adottata mediante i seguenti att/provvedimenti normativi:- Decreto-legge n° 77/2021, artt. 52 e 53, convertito con Legge n°108/2021, sono state adottate norme di prima attuazione funzionali alla realizzazione degli obiettivi del PNRR previsti a giugno e dicembre 2021.- Disegno di legge delega per la riforma del Codice dei contratti pubblici- Sottoscrizione in data 17 dicembre 2021 di un Protocollo di intesa tra PCM e ANAC con il quale sono stati stabiliti i criteri e le tappe per il completamento dell’esercizio di qualificazione delle stazioni appaltanti.;https://www.gazzettaufficiale.it/eli/id/2021/07/30/21A04731/sg;https://www.gazzettaufficiale.it/eli/id/2022/06/24/22G00087/sg;"https://www.anticorruzione.it/-/protocollo-d-intesa-per-l-attuazione-del-sistema-di-qualificazione-delle-stazioni-appaltanti-e-delle-centrali-di-committenza-e-ulteriori-profili-di-collaborazione?inheritRedirect=true&amp;redirect=%2Frisultati-ricerca%3Fq%3Dper%2520l%25E2%2580%2599attuazione%2520del%2520sistema%2520di%2520qualificazione%2520delle%2520stazioni%2520appaltanti%2520e%2520delle%2520centrali%2520di%2520committenza%2520e%2520ulteriori%2520profili%2520di%2520collaborazione%26sort%3DpublishDate_sortable-";https://www.gazzettaufficiale.it/eli/id/2021/07/30/21G00118/sg;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;MISE - Min Svil Eco;M1C2-1;Milestone;Entrata in vigore degli atti giuridici per mettere i crediti d'imposta Transizione 4.0 a disposizione dei potenziali beneficiari e istituzione del comitato scientifico ;2021 - 4° trimestre;Con adozione di un Decreto ministeriale del 23 novembre 2021 è stato istituito il Comitato scientifico per la valutazione dell’impatto economico degli interventi previsti dal Piano. Inoltre, con risoluzione dell’Agenzia delle entrate sono stati definiti i codici tributo. Infine, la Legge di Bilancio 2022-2024, prevede la riformulazione e la proroga dei crediti d’imposta per la Transizione 4.0 oltre i termini del 2022.;https://www.gazzettaufficiale.it/eli/id/2020/12/30/20G00202/sg;https://www.gazzettaufficiale.it/eli/id/2019/12/30/19G00165/sg;https://www.agenziaentrate.gov.it/portale/documents/20143/3930202/Risoluzione_68_30.11.2021.pdf/26600c67-7e31-bc4f-a97c-4c4e3817e879;https://www.finanze.gov.it/export/sites/finanze/.galleries/Documenti/Decreti_Ministeriali/bozza_dm_comitato_scientifico_transizione_4.0_9_nov_2021_draft.doc.pdf_bollinato_signed.pdf;http://www.gazzettaufficiale.it/eli/id/2021/12/31/21G00256/sg;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I5.1;M1C2I5.01;Politiche industriali di filiera e internazionalizzazione  ;MAECI - Min Aff Est;M1C2-26;Milestone;Entrata in vigore della norma che rifinanzia il Fondo 394/81 e adozione degli atti che individuano i criteri di attuazione della politica di investimento;2021 - 4° trimestre;Il rifinanziamento del Fondo 394/81 è stato conseguito con l’adozione del Decreto-legge 10 settembre 2021, n. 121, che ha stabilito una dotazione 1,2 miliardi di euro (di cui 800 milioni di euro per la componente prestiti e 400 milioni per la componente contributi). Inoltre, il 30 settembre 2021, è stata adottata dal Consiglio di Amministrazione del Fondo (Comitato Agevolazioni) la politica di investimento con l'approvazione di una delibera quadro e tre circolari operative.;https://www.gazzettaufficiale.it/eli/id/2021/11/09/21A06656/sg;https://www.gazzettaufficiale.it/eli/id/2021/11/09/21G00170/sg;https://www.simest.it/docs/default-source/simest/finanziamenti-pnrr/schede-prodotto/pnrr-fondo-394-delibera-quadro-del-comitato-agevolazioni-del-30-settembre-2021-di-approvazione-della-politica-di-investimento-e-delle-correlate-circolari-operative.pdf?sfvrsn=334e91be_0;https://doc.confindustria.vicenza.it/sito/docweb.nsf/0/4F595C798B8D0140C125876400415067/$File/circolare-1---pnrr-394-2021---transizione-digitale-ed-ecologica.pdf;https://www.assocaseari.it/wp-content/uploads/2021/10/Allegato-3-pnrr-394-2021-ecommerce.pdf;https://doc.confindustria.vicenza.it/sito/docweb.nsf/0/4F595C798B8D0140C125876400415067/$File/circolare-3---pnrr-394-2021---fiere-e-mostre.pdf;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I5.1;M1C2I5.01;Politiche industriali di filiera e internazionalizzazione  ;MAECI - Min Aff Est;M1C2-27;Target;Almeno altre 4 000 PMI dovranno fruiredel sostegnodel Fondo 394/81.;2021 - 4° trimestre;Il Comitato Agevolazioni SIMEST ha adottato in data 29 dicembre 2021 la delibera che approva la concessione del contributo del Fondo 394/81 a beneficio di 5.224 PMI, oltre quindi la soglia di 4.000 imprese previste dal target.;"https://eur02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.esteri.it%2Fit%2Fdiplomazia-economica-e-politica-commerciale%2Fdiplomaziaeconomica%2Fla-farnesina-nellattuazione-del-pnrr%2F&amp;data=04%7C01%7Cfederico.depaola.sogei%40mef.gov.it%7C5f72414635024c9390d608d9d68a4a26%7Ca7cc9c7eb24743fdac8a83d8fe99ac09%7C0%7C0%7C637776711693656889%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000&amp;sdata=20YujQTo%2FH3tYZEj48FHUUyObyyw5%2FanCl62d0UpSKM%3D&amp;reserved=0";"https://www.simest.it/docs/default-source/simest/finanziamenti-pnrr/circolari/delibera-modifica-politica-di-investimento-pnrr-e-circolare-operativa-e-disciplina.pdf?sfvrsn=35f17eb9_0&amp;msclkid=c1f30bf2d07211ecaaeefb113fac7f36";https://www.esteri.it/wp-content/uploads/2022/04/PNRR-Pubblicazione-dellelenco-dei-beneficiari.pdf;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I4.2;M1C3I4.02;Fondi integrati per la competitività delle imprese turistiche;MiTur - Min Turismo;M1C3-22;Milestone;Norma per la definizione della politica di investimento per il Fondo tematico della Banca europea per gli investimenti;2021 - 4° trimestre;È stato costituito il Fondo di fondi BEI denominato “Fondo Ripresa Resilienza Italia” con l'art.8 del Decreto-legge n° 152/2021 destinato all'attuazione di progetti di sviluppo e resilienza delle imprese del settore turistico. La politica di investimento del Fondo è stata adottata con accordo tra la Banca europea per gli investimenti (BEI), il Ministero dell'Economia e delle Finanze (MEF) e il Ministero del Turismo, ed è parte integrante dell'accordo di finanziamento sottoscritto tra il MEF e la BEI.;https://www.gazzettaufficiale.it/eli/id/2021/12/31/21A07784/sg;https://www.gazzettaufficiale.it/eli/id/2021/12/31/21A07784/sg;https://www.gazzettaufficiale.it/eli/id/2021/12/31/21G00257/sg;https://www.mef.gov.it/ufficio-stampa/comunicati/2021/Accordo-di-Finanziamento-BEI-MEF-per-sostenere-Turismo-e-Rigenerazione-Urbana-in-Italia-con-772-milioni-di-euro-nellambito-delle-risorse-del-PNRR/;N/A;N/A;N/A;N/A;N/A
