Programma;Missione;Descrizione Missione;Componente;Descrizione Componente;ID Misura;Codice Univoco Misura;Descrizione Misura;ID Submisura;Codice Univoco Sub-misura;Codice CID;Descrizione Sub-misura;Amministrazione Titolare;Codice Indicatore;Descrizione Indicatore;Unità di misura;Stock o Flusso;Anno Ob.;Semestre;Valore Indicatore
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.3;M1C1I1.06.03;M1C1I1.6.1;Digitalizzazione dell'Istituto Nazionale per la Previdenza Sociale (INPS) e dell'istituto nazionale per l'assicurazione contro gli Infortuni sul Lavoro (INAIL);MITD - MIN INNOV TEC;C14.F;NUMERO DI GIOVANI DI ETÀ COMPRESA TRA I 15 E I 29 ANNI CHE RICEVONO SOSTEGNO (DONNE);Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.3;M1C1I1.06.03;M1C1I1.6.1;Digitalizzazione dell'Istituto Nazionale per la Previdenza Sociale (INPS) e dell'istituto nazionale per l'assicurazione contro gli Infortuni sul Lavoro (INAIL);MITD - MIN INNOV TEC;C14.M;NUMERO DI GIOVANI DI ETÀ COMPRESA TRA I 15 E I 29 ANNI CHE RICEVONO SOSTEGNO (UOMINI);Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.3;M1C1I1.06.03;M1C1I1.6.1;Digitalizzazione dell'Istituto Nazionale per la Previdenza Sociale (INPS) e dell'istituto nazionale per l'assicurazione contro gli Infortuni sul Lavoro (INAIL);MITD - MIN INNOV TEC;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti/anno;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.3;M1C1I1.06.03;M1C1I1.6.1;Digitalizzazione dell'Istituto Nazionale per la Previdenza Sociale (INPS) e dell'istituto nazionale per l'assicurazione contro gli Infortuni sul Lavoro (INAIL);MITD - MIN INNOV TEC;C10IA;NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (UOMINI ETÀ 0-17);Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.3;M1C1I1.06.03;M1C1I1.6.1;Digitalizzazione dell'Istituto Nazionale per la Previdenza Sociale (INPS) e dell'istituto nazionale per l'assicurazione contro gli Infortuni sul Lavoro (INAIL);MITD - MIN INNOV TEC;C10IB;NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (UOMINI ETÀ 18-29);Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.3;M1C1I1.06.03;M1C1I1.6.1;Digitalizzazione dell'Istituto Nazionale per la Previdenza Sociale (INPS) e dell'istituto nazionale per l'assicurazione contro gli Infortuni sul Lavoro (INAIL);MITD - MIN INNOV TEC;C10IC;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (UOMINI; 30-54)";Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.3;M1C1I1.06.03;M1C1I1.6.1;Digitalizzazione dell'Istituto Nazionale per la Previdenza Sociale (INPS) e dell'istituto nazionale per l'assicurazione contro gli Infortuni sul Lavoro (INAIL);MITD - MIN INNOV TEC;C10ID;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (UOMINI; 55<)";Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.3;M1C1I1.06.03;M1C1I1.6.1;Digitalizzazione dell'Istituto Nazionale per la Previdenza Sociale (INPS) e dell'istituto nazionale per l'assicurazione contro gli Infortuni sul Lavoro (INAIL);MITD - MIN INNOV TEC;C10IE;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (DONNE; ETÀ 0-17)";Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.3;M1C1I1.06.03;M1C1I1.6.1;Digitalizzazione dell'Istituto Nazionale per la Previdenza Sociale (INPS) e dell'istituto nazionale per l'assicurazione contro gli Infortuni sul Lavoro (INAIL);MITD - MIN INNOV TEC;C10IF;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (DONNE; ETÀ 18-29)";Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.3;M1C1I1.06.03;M1C1I1.6.1;Digitalizzazione dell'Istituto Nazionale per la Previdenza Sociale (INPS) e dell'istituto nazionale per l'assicurazione contro gli Infortuni sul Lavoro (INAIL);MITD - MIN INNOV TEC;C10IG;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (DONNE; 30-54)";Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.3;M1C1I1.06.03;M1C1I1.6.1;Digitalizzazione dell'Istituto Nazionale per la Previdenza Sociale (INPS) e dell'istituto nazionale per l'assicurazione contro gli Infortuni sul Lavoro (INAIL);MITD - MIN INNOV TEC;C10IH;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (DONNE; 55<)";Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.4;M1C1I1.06.04;M1C1I1.6.1;Digitalizzazione del Ministero della Difesa;MITD - MIN INNOV TEC;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti/anno;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.5;M1C1I1.06.05;M1C1I1.6.1;Digitalizzazione del Consiglio di Stato;MITD - MIN INNOV TEC;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti/anno;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.6;M1C1I1.06.06;M1C1I1.6.1;Digitalizzazione della Guardia di Finanza;MITD - MIN INNOV TEC;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti/anno;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.7;M1C1I1.07;Competenze digitali di base;M1C1I1.7.1;M1C1I1.07.01;M1C1I1.7.1;Servizio Civile Digitale;MITD - MIN INNOV TEC;C10IA;NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (UOMINI ETÀ 0-17);Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.7;M1C1I1.07;Competenze digitali di base;M1C1I1.7.1;M1C1I1.07.01;M1C1I1.7.1;Servizio Civile Digitale;MITD - MIN INNOV TEC;C10IB;NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (UOMINI ETÀ 18-29);Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.7;M1C1I1.07;Competenze digitali di base;M1C1I1.7.1;M1C1I1.07.01;M1C1I1.7.1;Servizio Civile Digitale;MITD - MIN INNOV TEC;C10IC;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (UOMINI; 30-54)";Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.7;M1C1I1.07;Competenze digitali di base;M1C1I1.7.1;M1C1I1.07.01;M1C1I1.7.1;Servizio Civile Digitale;MITD - MIN INNOV TEC;C10ID;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (UOMINI; 55<)";Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.7;M1C1I1.07;Competenze digitali di base;M1C1I1.7.1;M1C1I1.07.01;M1C1I1.7.1;Servizio Civile Digitale;MITD - MIN INNOV TEC;C10IE;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (DONNE; ETÀ 0-17)";Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.7;M1C1I1.07;Competenze digitali di base;M1C1I1.7.1;M1C1I1.07.01;M1C1I1.7.1;Servizio Civile Digitale;MITD - MIN INNOV TEC;C10IF;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (DONNE; ETÀ 18-29)";Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.7;M1C1I1.07;Competenze digitali di base;M1C1I1.7.1;M1C1I1.07.01;M1C1I1.7.1;Servizio Civile Digitale;MITD - MIN INNOV TEC;C10IG;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (DONNE; 30-54)";Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.7;M1C1I1.07;Competenze digitali di base;M1C1I1.7.1;M1C1I1.07.01;M1C1I1.7.1;Servizio Civile Digitale;MITD - MIN INNOV TEC;C10IH;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE - COMPETENZE DIGITALI (DONNE; 55<)";Persone;Flusso;2022;I;0
