Missione;Descrizione Missione;Componente;Descrizione Componente;ID Misura;Codice Univoco Misura;Descrizione Misura;Amministrazione Titolare;Codice univoco Milestone-Target;Milestone-Target;Nome Milestone-Target;Avanzamento;﻿Principali evidenze;﻿Allegato 1;﻿Allegato 2;﻿Allegato 3;﻿Allegato 4;﻿Allegato 5;﻿Allegato 6;﻿Allegato 7;﻿Allegato 8;﻿Allegato 9;﻿Allegato 10;﻿Allegato 11;﻿Allegato 12;﻿Allegato 13;﻿Allegato 14;﻿Allegato 15;﻿Allegato 16;﻿Allegato 17;﻿Allegato 18;﻿Allegato 19;﻿Allegato 20;﻿Allegato 21;﻿Allegato 22;﻿Allegato 23;﻿Allegato 24;﻿Allegato 25;﻿Allegato 26;﻿Allegato 27;﻿Allegato 28;﻿Allegato 29;﻿Allegato 30;﻿Allegato 31;﻿Allegato 32;﻿Allegato 33;﻿Allegato 34;﻿Allegato 35;﻿Allegato 36;﻿Allegato 37
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R3.1;M1C1R3.01;Riforma della giustizia;MIG - Min Giustizia;M1C1-36;Milestone;Entrata in vigore degli atti delegati per la riforma del processo civile e penale e la riforma del quadro in materia di insolvenza;2022 - 4° trimestre;La riforma del processo civile è stata attuata con l'adozione del D.lgs. 10 ottobre 2022, n. 149 “Attuazione della legge 26 novembre 2021, n. 206, recante delega al Governo per l’efficienza del processo civile e per la revisione della disciplina degli strumenti di risoluzione alternativa delle controversie e misure urgenti di razionalizzazione dei procedimenti in materia di diritti delle persone e delle famiglie nonché in materia di esecuzione forzata”.La riforma del processo penale è stata attuata con l'adozione del D.lgs. 10 ottobre 2022, n. 150 “Attuazione della legge 27 settembre 2021, n. 134, recante delega al Governo per l’efficienza del processo penale, nonché in materia di giustizia riparativa e disposizioni per la celere definizione dei procedimenti giudiziari”. La riforma del quadro in materia di insolvenza è stata attuata con l'adozione del D.lgs. 17 giugno 2022, n. 83.;http://www.normattiva.it/eli/id/2022/10/17/22G00158/ORIGINAL;http://www.normattiva.it/eli/id/2022/10/17/22G00159/CONSOLIDATED;https://www.normattiva.it/eli/id/2022/07/01/22G00090/ORIGINAL;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.3;M1C1I1.03;Dati e interoperabilità;PCM - Dip Trasf Dig;M1C1-4;Milestone;Piattaforma Digitale Nazionale Dati operativa;2022 - 4° trimestre;Dal 17 ottobre 2022 è attiva la Piattaforma Digitale Nazionale Dati (PDND). La piattaforma consente ai soggetti erogatori (Pubbliche Amministrazioni, Gestori di servizi Pubblici e Società a controllo pubblico) di mettere a disposizione e-service attraverso lo sviluppo di API. Il soggetto Fruitore  attraverso una richiesta di fruizione richiede al soggetto erogatore l’accesso agli e-service pubblicati sul catalogo al fine di accedere al servizio. AGID con la Determinazione n. 627/2021 del 15 dicembre 2021 ha adottato le Linee Guida sull’infrastruttura tecnologica della Piattaforma Digitale Nazionale Dati per l’interoperabilità dei sistemi informativi e delle basi di dati.;https://www.interop.pagopa.it/;https://trasparenza.agid.gov.it/archivio28_provvedimenti-amministrativi_0_123064_725_1.html;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.5;M1C1I1.05;Cybersecurity;PCM - Dip Trasf Dig;M1C1-5;Milestone;Istituzione della nuova Agenzia per la cybersicurezza nazionale;2022 - 4° trimestre;E' stato adottato il decreto-legge del 14 giugno 2021, n. 82, convertito, con modificazioni dalla legge 4 agosto 2021, n.109, che ha ridefinito l'architettura nazionale cyber e istituito l'Agenzia per la Cybersicurezza Nazionale (ACN). La struttura organizzativa dell’Agenzia per la Cybersicurezza Nazionale è stata dettagliata nel DPCM n.223 del 9 dicembre 2021. La ridefinizione dell'architettura nazionale cyber include il Computer Security Incident Response Team nazionale “CSIRT Italia”, il Centro di Valutazione e Certificazione Nazionale per lo scrutinio tecnologico degli asset digitali strategici nazionali e il Centro Nazionale di Coordinamento per la cybersicurezza con i suoi programmi di sviluppo tecnologico europei e i progetti cyber del PNRR atti a migliorare le capacità nazionali nel settore.;https://www.gazzettaufficiale.it/eli/id/2021/06/14/21G00098/sg;https://www.gazzettaufficiale.it/eli/gu/2021/12/27/306/so/47/sg/pdf;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.9;M1C1R1.09;Riforma della Pubblica Amministrazione;PCM - Dip Funz Pubbl;M1C1-57;Milestone;Entrata in vigore delle procedure amministrative per la riforma della semplificazione finalizzata all'attuazione dell'RRF;2022 - 4° trimestre;"Sono stati adottati gli interventi attuativi di semplificazione derivanti dal decreto-legge n. 77 del 2021 e dal decreto-legge n. 152 del 2021. In sintesi, sono:1. Istituzione della Commissione tecnica VIA per i progetti PNRR-NIEC (attuazione con Decreti MITE n. 361 del 2/9/2021 e n. 362 del 3/9/ 2021, entrati in vigore il 3/9/2021);2. Adozione dei modelli delle istanze per l’avvio dei procedimenti di bonifica dei siti di interesse nazionale e dei contenuti minimi della documentazione tecnica richiesta per le operazioni di bonifica (attuazione con Decreto Direttoriale MITE n. 137 del 18/8/2021, entrato in vigore il 18/8/2021);3. Adozione delle norme tecniche per cui l’esecuzione del piano di caratterizzazione è sottoposta a comunicazione di inizio attività (attuazione con Decreto Direttoriale MITE n. 114 del 20/7/2021, entrato in vigore il 20/7/2021);4. Definizione delle caratteristiche tecniche, architettura generale, requisiti di sicurezza e modalità di funzionamento del Sistema di Gestione Deleghe (attuazione con Decreto del Presidente del Consiglio dei ministri del 30/03/2022, entrato in vigore il 18/08/2022);5. Aggiornamento dei servizi resi disponibili dall’Anagrafe Nazionale Popolazione Residente (ANPR) (attuazione con Decreto del Ministro dell’Interno del 3/11/2021, pubblicato in G.U. n. 280 del 24/11/ 2021, entrato in vigore il 9/12/2022) e Decreto del Ministro dell’Interno del 18/10/2022, entrato in vigore il 2/12/2022);6. Modalità di integrazione nell’ANPR delle liste elettorali (attuazione con Decreto del Ministero dell’Interno n. 223 del 17/10/2022, in vigore dal 30/11/2022);7. Regole e specifiche tecniche per l’utilizzo degli strumenti elettronici specifici quali quelli di modellazione per l’edilizia e le infrastrutture (attuazione con Decreto del Ministero delle infrastrutture e dei trasporti n. 312 del 2/8/2021, entrato in vigore il 3/8/2021);8. Modalità di presentazione delle richieste di parere obbligatorio sui progetti definitivi di lavori pubblici di competenza statale, o comunque finanziati per almeno il 50 per cento dallo Stato, di importo superiore ai 100 milioni di euro (attuazione con Linee Guida per la redazione del progetto di fattibilità tecnica ed economica da porre a base dell’affidamento di contratti pubblici di lavori del PNRR e del PNC, pubblicate il 06/09/2021 dal Consiglio Superiore dei Lavori Pubblici);9. Adozione di linee guida volte a definire i requisiti professionali e i casi di incompatibilità dei membri e del presidente del Collegio consultivo tecnico, i criteri preferenziali per la loro scelta e le modalità di costituzione e di funzionamento del Collegio stesso (attuazione con Decreto del Ministero delle infrastrutture e dei trasporti n. 12/2022 del 17 gennaio 2022, entrato in vigore il 22/03/2022);10. Procedure per l’autorizzazione dei corsi di studio delle istituzioni statali (attuazione con Decreto Ministeriale non regolamentare del Ministro dell'università e della ricerca n. 1214 del 28/10/2021, pubblicato il 13/12/2021);11. Convenzione tra struttura della PCM competente per l'innovazione tecnologica e la transizione digitale, il MISE, Unioncamere e Infocamere in qualità di gestore del servizio, avente ad oggetto il collegamento telematico con la PDND, al fine di consentirne l’erogazione e garantirne lo sviluppo. La Convenzione è stata firmata il 3 agosto 2022.";https://www.mite.gov.it/sites/default/files/archivio/allegati/trasparenza_valutazione_merito/2021-09-02_dm_361_organizzaz_commiss_pnrr-pniec.pdf;https://www.mite.gov.it/sites/default/files/archivio/allegati/trasparenza_valutazione_merito/2021-09-03_dm_362_tratt_econom_pnrr-pniec.pdf;https://bonifichesiticontaminati.mite.gov.it/download/decreto-direttoriale-direzione-generale-risanamento-ambientale-18-agosto-2021-n-137/;https://bonifichesiticontaminati.mite.gov.it/download/decreto-direttoriale-dg-ria-20-luglio-2021-n-114/;http://www.gazzettaufficiale.it/eli/id/2022/08/03/22A04328/sg;"https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2021-11-24&amp;atto.codiceRedazionale=21A06914";"https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2022-11-15&amp;atto.codiceRedazionale=22A06434&amp;elenco30giorni=true";https://www.mit.gov.it/normativa/decreto-ministeriale-numero-312-del-02082021;https://www.mit.gov.it/nfsmitgov/files/media/notizia/2022-01/1.%20Linee_Guida_PFTE.pdf;https://www.gazzettaufficiale.it/eli/id/2022/03/07/22A01477/sg;https://www.mur.gov.it/it/atti-e-normativa/decreto-ministeriale-n1214-del-28-10-2021;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.5;M1C1I1.05;Cybersecurity;PCM - Dip Trasf Dig;M1C1-6;Milestone;Dispiego iniziale dei servizi nazionali di cybersecurity;2022 - 4° trimestre;"È stata adottata la strategia nazionale della Cybersicurezza. È stato, inoltre, definito:Un quadro complessivo dei servizi cyber nazionali e loro modello di integrazione;L’architettura completa del servizio HyperSOC volto al monitoraggio e individuazione di eventi di sicurezza di interesse;L’architettura completa della rete degli CSIRT (o CERT) volta a supportare la risposta agli incidenti informatici permettendo quindi un più rapido contenimento e mitigazione dei danni;L’architettura completa della rete degli ISAC volta, a facilitare la capacità di condivisione di informazioni, best-practice e linee guida, promuovendo iniziative di capacity building e promozione di rafforzamento del livello di cyber resilienza";https://www.acn.gov.it/ACN_Strategia.pdf;https://www.acn.gov.it/ACN_Implementazione.pdf;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.5;M1C1I1.05;Cybersecurity;PCM - Dip Trasf Dig;M1C1-7;Milestone;Avvio della rete dei laboratori di screening e certificazione della cybersecurity;2022 - 4° trimestre;"E' stato adottato il Decreto del Presidente del Consiglio dei ministri n. 92 del 18 maggio 2022  che reca il “Regolamento in materia di accreditamento dei laboratori di prova e di raccordi tra Centro di Valutazione e Certificazione Nazionale, i laboratori di prova accreditati e i Centri di Valutazione del Ministero dell’interno e del Ministero della Difesa"".Al fine di supportare l'attivazione di laboratori di analisi e scrutinio software, a settembre 2022 è stato pubblicato un Avviso a ristoro (Avviso 4) rivolto alle Amministrazioni Pubbliche Centrali individuate nella Presidenza del Consiglio dei Ministri, nei Ministeri e nelle Agenzie fiscali. La procedura si è conclusa con la notifica della determina di approvazione della graduatoria definitiva a ottobre 2022 e con l'ammissione a finanziamento di un progetto.";https://www.gazzettaufficiale.it/eli/id/2022/07/15/22G00099/sg;https://italiadomani.gov.it/content/dam/sogei-ng/documenti/Avviso4_LabSoftwarePA_v2.zip;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.5;M1C1I1.05;Cybersecurity;PCM - Dip Trasf Dig;M1C1-8;Milestone;Attivazione di un'unità centrale di audit per misure di sicurezza PSNC e NIS;2022 - 4° trimestre;È stato attivato presso l'Agenzia della Cybersicurezza Nazionale, il Servizio di Certificazione e Vigilanza con competenza in materia di ispezione e sono stati pubblicati due bandi: per il reclutamento di 50 laureati in materia ICT e per il reclutamento di professionisti a supporto delle attività di scrutinio tecnologico. Sono state pubblicate le graduatorie finali dei bandi di concorso e si è proceduto alle assunzioni. Il Servizio di Certificazione e Vigilanza ha assorbito funzioni in parte precedentemente svolte dal Ministero dello Sviluppo Economico e trasferite con Decreto del Presidente del Consiglio dei Ministri del 15 giugno 2022.;https://www.acn.gov.it/Bando_concorso_22_Febbraio.pdf;https://www.acn.gov.it/50-ITC/A%20Graduatoria.pdf;https://www.acn.gov.it/50-ITC/B%20Graduatoria.pdf;https://www.acn.gov.it/50-ITC/C%20Graduatoria.pdf;https://www.gazzettaufficiale.it/eli/id/2022/06/30/22A03773/sg;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.5;M1C1I1.05;Cybersecurity;PCM - Dip Trasf Dig;M1C1-9;Target;Sostegno al potenziamento delle strutture di sicurezza T1;2022 - 4° trimestre;L'Agenzia per la Cybersicurezza Nazionale  ha pubblicato due  Avvisi, uno a ristoro  (Avviso  1)  e uno  a  servizio (Avviso  2), rivolti  agli  Organi  Costituzionali  e  di  rilievo  Costituzionale,   alle  Agenzie  Fiscali e  alle  Amministrazioni  facenti  parte  del  Nucleo  per  la  cybersicurezza per assegnare fondi per interventi di potenziamento della resilienza cyber. Un ulteriore avviso a ristoro  (Avviso  3)  rivolto  a  Regioni,  Province  Autonome  e   Comuni  capoluogo  facenti  parte   di città metropolitane, per il potenziamento del livello di maturità della gestione del rischio  cyber  nella  PA Locale. Sono stati successivamente pubblicate le determine con le graduatorie dei progetti selezionati per ciascun avviso.;https://italiadomani.gov.it/content/dam/sogei-ng/documenti/Avviso1_interventiCyber_v6.zip;https://italiadomani.gov.it/content/dam/sogei-ng/bandi/bandi_acn/Avviso2_InterventiCyber_v2.zip;https://italiadomani.gov.it/content/dam/sogei-ng/documenti/Avviso3_InterventiCyber_v5.zip;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2R1.2;M1C2R1.02;Leggi annuali sulla concorrenza;PCM - Pres Cons Min;M1C2-6;Milestone;Entrata in vigore della legge annuale sulla concorrenza 2021;2022 - 4° trimestre;E' stata adottata la Legge annuale per il mercato e la concorrenza 2021 (Legge n. 118/22 del 5 agosto 2022) entrata in vigore il 27 agosto 2022 (a eccezione dell’art. 31 la cui entrata in vigore è psoticipata al 1° gennaio 2023).;"http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2022;118";https://www.gazzettaufficiale.it/eli/id/2022/09/23/22G00154/sg;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2R1.2;M1C2R1.02;Leggi annuali sulla concorrenza;PCM - Pres Cons Min;M1C2-7;Milestone;Entrata in vigore di tutti gli strumenti attuativi e di diritto derivato (se necessario) in materia di energia;2022 - 4° trimestre;"I commi 59 e 60 dell'art. 1 della legge 4 agosto 2017, n. 124 (""Legge annuale per il mercato e la concorrenza"") e successive modificazioni intervenute hanno stabilito le date in cui terminerà il regime di tutela di prezzo fornita dall'ARERA per i settori dell'energia elettrica (per i clienti domestici e le piccole imprese connesse in bassa tensione) e del gas naturale (per i clienti domestici). L’art. 16-ter del decreto-legge n. 152 del 6 novembre 2021, convertito con Legge n. 233 del 29 dicembre 2021, integrando la legge 124 del 2017, ha introdotto disposizioni in materia di contratti di fornitura di energia elettrica per clienti domestici (oltre che per i clienti vulnerabili e in condizioni di povertà energetica). L'ARERA ha adottato delle misure di accompagnamento per sostenere l'eliminazione graduale dei prezzi regolamentati nel mercato dell'energia.";"https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2017;124";"https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legge:2021;152";https://www.normattiva.it/eli/id/2022/11/18/22G00189/CONSOLIDATED;"https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2007-08-03;125";https://www.arera.it/it/docs/20/491-20.htm;https://www.arera.it/it/docs/21/053-21.htm;https://www.arera.it/it/docs/22/208-22.htm;http://www.arera.it/it/docs/22/586-22.htm;https://www.normattiva.it/eli/id/2021/12/11/21G00233/CONSOLIDATED;http://www.ilportaleofferte.it/;https://www.arera.it/it/docs/21/242-21.htm;https://www.arera.it/it/docs/22/209-22.htm;http://www.consumienergia.it;https://www.arera.it/it/docs/21/032-21.htm;https://www.arera.it/it/docs/22/119-22.htm;https://www.arera.it/it/docs/22/364-22.htm;https://www.mite.gov.it/sites/default/files/archivio/allegati/trasparenza_valutazione_merito/ATTIGENERALI/dm_315_31_08_2022.pdf;https://arera.it/it/docs/21/242-21.htm;https://www.arera.it/it/docs/22/637-22.htm;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2R1.2;M1C2R1.02;Leggi annuali sulla concorrenza;PCM - Pres Cons Min;M1C2-8;Milestone;Entrata in vigore di tutti gli strumenti attuativi (anche di diritto derivato, se necessario) per l'effettiva attuazione e applicazione delle misure derivanti dalla legge annuale sulla concorrenza 2021.;2022 - 4° trimestre;"Sono stati adottati: il Decreto legislativo del 23.12.22 in attesa di pubblicazione sulla Gazzetta Ufficiale in materia di servizi pubblici locali;il Decreto legislativo n. 157 del  12.10.22  in  materia di  vigilanza  del mercato, oggetto di delega legislativa contenuta nell' art. 30 della Legge (All. 9);il Decreto-legge n. 144 del 23.9.22, convertito dalla L. n. 175 del 17.11.22, che all' art. 22 contiene misure finalizzate  ad accelerare i procedimenti autorizzativi non di  competenza statale  per gli impianti di trattamento dei  rifiuti,  mentre all' art.23  contiene ""Misure in materia di fornitura di energia elettrica per la ricarica dei veicoli elettrici"";Decreti ministeriali e provvedimenti delle Autorità  indipendenti aventi ad oggetto specifiche misure di settore.";https://www.gazzettaufficiale.it/eli/id/2022/10/22/22G00165/sg;"https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2022-11-17&amp;atto.codiceRedazionale=22A06657&amp;elenco30giorni=false";https://www.mit.gov.it/normativa/decreto-dirigenziale-n-293-del-12102022;https://www.arera.it/it/docs/22/714-22.htm;https://www.autorita-trasporti.it/delibere/delibera-n-243-2022;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I4.2;M1C3I4.02;Fondi integrati per la competitività delle imprese turistiche;MITUR - Min Turismo;M1C3-30;Target;Fondi tematici della Banca europea per gli investimenti: erogazione al Fondo di un totale di 350 000 000 EUR.;2022 - 4° trimestre;È stato autorizzato il versamento dal Ministero del turismo alla BEI, per un importo complessivo pari a euro 350 milioni di euro, con apposito Decreto del 30 settembre 2022.;https://www.gazzettaufficiale.it/eli/id/2022/10/22/22G00165/sg;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I4.2;M1C3I4.02;Fondi integrati per la competitività delle imprese turistiche;MITUR - Min Turismo;M1C3-31;Target;Fondo Nazionale del Turismo: Erogazione al Fondo di un totale di 150 000 000 EUR in sostegno del capitale.;2022 - 4° trimestre;È stato autorizzato il versamento dal Ministero del turismo in favore di CDP Immobiliare SGR S.p.A., per un importo complessivo pari a euro 150 milioni di euro, con apposito Decreto del 27 settembre 2022.;https://www.ministeroturismo.gov.it/wp-content/uploads/2022/12/22.09.27_Decreto-prot.-12283.22-trasferimento-FNT-1.pdf;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3R3.1;M1C3R3.01;Criteri ambientali minimi per eventi culturali;MASE - Amb Sic Ener;M1C3-6;Milestone;Entrata in vigore di un decreto che stabilisca i criteri sociali e ambientali negli appalti pubblici per eventi culturali finanziati con fondi pubblici;2022 - 4° trimestre;Sono stati adottati con decreto del MITE n. 459 del 19 ottobre 2022 i Criteri Ambientali Minimi (CAM) che la Pubblica amministrazione deve introdurre nelle procedure di appalto per l’affidamento di servizi nell’ambito dell'organizzazione e realizzazione di eventi ed iniziative culturali.;https://www.gazzettaufficiale.it/eli/id/2022/12/02/22A06879/sg;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M2;Rivoluzione verde e transizione ecologica;M2C1;Agricoltura sostenibile ed Economia Circolare;M2C1I3.1;M2C1I3.01;Isole verdi;MASE - Amb Sic Ener;M2C1-18;Milestone;Entrata in vigore del decreto ministeriale ;2022 - 3° trimestre;"Sono stati adottati: Il Decreto Direttoriale N. 390 del 25 novembre 2021 del Ministero della transizione ecologica che finanzia il “Programma Isole Verdi”; il Decreto Direttoriale n. 107 del 10 giugno 2022 per l' istituzione del Tavolo di Monitoraggio per l’attuazione del Programma ""Isole Verdi” e il Decreto Direttoriale n.219 del 27 settembre 2022 che approva la graduatoria dei progetti relativa ai risultati del bando.";https://www.mite.gov.it/sites/default/files/archivio/bandi/ISOLE_VERDI_DD390_2021.PDF;https://www.mite.gov.it/sites/default/files/archivio/normativa/dd_107_10_06_2022.pdf;https://www.mite.gov.it/sites/default/files/styles/media_home_559/public/archivio/allegati/PNRR/Allegato%20DD%20219-2022.pdf;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M2;Rivoluzione verde e transizione ecologica;M2C1;Agricoltura sostenibile ed Economia Circolare;M2C1I3.2;M2C1I3.02;Green communities;PCM - Dip Aff RegAut;M2C1-20;Milestone;Aggiudicazione di (tutti gli) appalti pubblici per la selezione delle Green communities;2022 - 3° trimestre;È stato adottato il Decreto Ministeriale del 30 marzo 2022 con il quale sono stati definiti l’importo e le modalità di finanziamento di tre progetti pilota e, successivamente,  emanata la Determina del Coordinatore del nucleo PNRR Stato – Regioni dipartimento per gli affari regionali e le autonomie della Presidenza del Consiglio dei ministri del 28 settembre 2022, che approva la graduatoria relativa ai risultati dell'Avviso del 30 giugno 2022 per la selezione delle 30 Green Communities oggetto di intervento.;https://www.affariregionali.it/attivita/aree-tematiche/pnrr/attuazione-misure-pnrr/avviso-pubblico-green-communities/;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
M2;Rivoluzione verde e transizione ecologica;M2C1;Agricoltura sostenibile ed Economia Circolare;M2C1I2.1;M2C1I2.01;Sviluppo logistica per i settori agroalimentare, pesca e acquacoltura, silvicoltura, floricoltura e vivaismo;MASAF - Agr SovAl Fo;M2C1-3;Milestone;Pubblicazione della graduatoria finale nell'ambito del regime di incentivi alla logistica;2022 - 4° trimestre;"Sono stati pubblicati i decreti ministeriali che approvano le graduatorie finali, nell'ambito del regime di incentivi alla logistica, relative ai tre avvisi:Avviso pubblico del 21 settembre 2022, per l'accesso, mediante Contratti per la logistica agroalimentare, alle agevolazioni alle imprese finalizzate a potenziare i sistemi di logistica e stoccaggio, riducendo l'impatto ambientale e rafforzando la competitività delle imprese;Avviso Pubblico del 19 ottobre 2022, finalizzato all’ammodernamento di mercati all’ingrosso operanti nei settori agroalimentare, pesca e acquacoltura (ittico), silvicoltura, floricoltura e vivaismo, con progetti da realizzarsi ad opera di soggetti gestori sia pubblici sia privati;Avviso Pubblico del 21 ottobre 2022, per l'accesso alle agevolazioni a sostegno degli investimenti per lo sviluppo della logistica agroalimentare tramite il miglioramento della capacità logistica delle aree portuali.";https://www.politicheagricole.it/avviso_logistica_imprese_pnrr;https://www.politicheagricole.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/18702;https://www.politicheagricole.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/18738;https://www.politicheagricole.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/19018;https://www.politicheagricole.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/19021;https://www.politicheagricole.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/19022;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
